FECHA ,TASA DE INTERêS DE REFERENCIA,FECHA,TASA DE RENDIMIENTO BONOS TF 10 A•OS
05/12/2009,4.5000,13/08/2015,0.00
06/12/2009,4.5000,20/08/2015,0.00
07/12/2009,4.5000,27/08/2015,0.00
08/12/2009,4.5000,03/09/2015,6.07
09/12/2009,4.5000,10/09/2015,0.00
10/12/2009,4.5000,17/09/2015,0.00
11/12/2009,4.5000,24/09/2015,0.00
12/12/2009,4.5000,01/10/2015,0.00
13/12/2009,4.5000,08/10/2015,0.00
14/12/2009,4.5000,15/10/2015,0.00
15/12/2009,4.5000,22/10/2015,0.00
16/12/2009,4.5000,29/10/2015,0.00
17/12/2009,4.5000,05/11/2015,0.00
18/12/2009,4.5000,12/11/2015,0.00
19/12/2009,4.5000,19/11/2015,0.00
20/12/2009,4.5000,26/11/2015,6.18
21/12/2009,4.5000,03/12/2015,0.00
22/12/2009,4.5000,10/12/2015,0.00
23/12/2009,4.5000,17/12/2015,0.00
24/12/2009,4.5000,24/12/2015,0.00
25/12/2009,4.5000,31/12/2015,0.00
26/12/2009,4.5000,07/01/2016,6.23
27/12/2009,4.5000,14/01/2016,0.00
28/12/2009,4.5000,21/01/2016,0.00
29/12/2009,4.5000,28/01/2016,0.00
30/12/2009,4.5000,04/02/2016,0.00
31/12/2009,4.5000,11/02/2016,0.00
01/01/2010,4.5000,18/02/2016,6.07
02/01/2010,4.5000,25/02/2016,0.00
03/01/2010,4.5000,03/03/2016,0.00
04/01/2010,4.5000,10/03/2016,0.00
05/01/2010,4.5000,17/03/2016,0.00
06/01/2010,4.5000,23/03/2016,0.00
07/01/2010,4.5000,31/03/2016,6.03
08/01/2010,4.5000,07/04/2016,0.00
09/01/2010,4.5000,14/04/2016,0.00
10/01/2010,4.5000,21/04/2016,0.00
11/01/2010,4.5000,28/04/2016,0.00
12/01/2010,4.5000,05/05/2016,0.00
13/01/2010,4.5000,12/05/2016,5.91
14/01/2010,4.5000,19/05/2016,0.00
15/01/2010,4.5000,26/05/2016,0.00
16/01/2010,4.5000,02/06/2016,0.00
17/01/2010,4.5000,09/06/2016,0.00
18/01/2010,4.5000,16/06/2016,0.00
19/01/2010,4.5000,23/06/2016,6.08
20/01/2010,4.5000,30/06/2016,0.00
21/01/2010,4.5000,07/07/2016,0.00
22/01/2010,4.5000,14/07/2016,0.00
23/01/2010,4.5000,21/07/2016,0.00
24/01/2010,4.5000,28/07/2016,0.00
25/01/2010,4.5000,04/08/2016,6.01
26/01/2010,4.5000,11/08/2016,0.00
27/01/2010,4.5000,18/08/2016,0.00
28/01/2010,4.5000,25/08/2016,0.00
29/01/2010,4.5000,01/09/2016,0.00
30/01/2010,4.5000,08/09/2016,0.00
31/01/2010,4.5000,15/09/2016,5.99
01/02/2010,4.5000,22/09/2016,0.00
02/02/2010,4.5000,29/09/2016,0.00
03/02/2010,4.5000,06/10/2016,0.00
04/02/2010,4.5000,13/10/2016,0.00
05/02/2010,4.5000,20/10/2016,0.00
06/02/2010,4.5000,27/10/2016,6.09
07/02/2010,4.5000,03/11/2016,0.00
08/02/2010,4.5000,10/11/2016,0.00
09/02/2010,4.5000,17/11/2016,0.00
10/02/2010,4.5000,24/11/2016,0.00
11/02/2010,4.5000,01/12/2016,0.00
12/02/2010,4.5000,08/12/2016,7.25
13/02/2010,4.5000,15/12/2016,0.00
14/02/2010,4.5000,22/12/2016,0.00
15/02/2010,4.5000,29/12/2016,0.00
16/02/2010,4.5000,05/01/2017,0.00
17/02/2010,4.5000,12/01/2017,0.00
18/02/2010,4.5000,19/01/2017,7.60
19/02/2010,4.5000,26/01/2017,0.00
20/02/2010,4.5000,02/02/2017,0.00
21/02/2010,4.5000,09/02/2017,0.00
22/02/2010,4.5000,16/02/2017,0.00
23/02/2010,4.5000,23/02/2017,0.00
24/02/2010,4.5000,02/03/2017,7.40
25/02/2010,4.5000,09/03/2017,0.00
26/02/2010,4.5000,16/03/2017,0.00
27/02/2010,4.5000,23/03/2017,0.00
28/02/2010,4.5000,30/03/2017,0.00
01/03/2010,4.5000,06/04/2017,0.00
02/03/2010,4.5000,12/04/2017,7.24
03/03/2010,4.5000,20/04/2017,0.00
04/03/2010,4.5000,27/04/2017,0.00
05/03/2010,4.5000,04/05/2017,0.00
06/03/2010,4.5000,11/05/2017,0.00
07/03/2010,4.5000,18/05/2017,0.00
08/03/2010,4.5000,25/05/2017,7.32
09/03/2010,4.5000,01/06/2017,0.00
10/03/2010,4.5000,08/06/2017,0.00
11/03/2010,4.5000,15/06/2017,0.00
12/03/2010,4.5000,22/06/2017,0.00
13/03/2010,4.5000,29/06/2017,0.00
14/03/2010,4.5000,06/07/2017,6.88
15/03/2010,4.5000,13/07/2017,0.00
16/03/2010,4.5000,20/07/2017,0.00
17/03/2010,4.5000,27/07/2017,0.00
18/03/2010,4.5000,03/08/2017,0.00
19/03/2010,4.5000,10/08/2017,0.00
20/03/2010,4.5000,17/08/2017,6.89
21/03/2010,4.5000,24/08/2017,0.00
22/03/2010,4.5000,31/08/2017,0.00
23/03/2010,4.5000,07/09/2017,0.00
24/03/2010,4.5000,14/09/2017,0.00
25/03/2010,4.5000,21/09/2017,0.00
26/03/2010,4.5000,28/09/2017,6.79
27/03/2010,4.5000,05/10/2017,0.00
28/03/2010,4.5000,12/10/2017,0.00
29/03/2010,4.5000,19/10/2017,0.00
30/03/2010,4.5000,26/10/2017,0.00
31/03/2010,4.5000,01/11/2017,0.00
01/04/2010,4.5000,09/11/2017,7.19
02/04/2010,4.5000,16/11/2017,0.00
03/04/2010,4.5000,23/11/2017,0.00
04/04/2010,4.5000,30/11/2017,0.00
05/04/2010,4.5000,07/12/2017,0.00
06/04/2010,4.5000,14/12/2017,0.00
07/04/2010,4.5000,21/12/2017,7.53
08/04/2010,4.5000,28/12/2017,0.00
09/04/2010,4.5000,04/01/2018,0.00
10/04/2010,4.5000,11/01/2018,0.00
11/04/2010,4.5000,18/01/2018,0.00
12/04/2010,4.5000,25/01/2018,0.00
13/04/2010,4.5000,01/02/2018,7.64
14/04/2010,4.5000,08/02/2018,0.00
15/04/2010,4.5000,15/02/2018,0.00
16/04/2010,4.5000,22/02/2018,0.00
17/04/2010,4.5000,01/03/2018,0.00
18/04/2010,4.5000,08/03/2018,0.00
19/04/2010,4.5000,15/03/2018,7.52
20/04/2010,4.5000,22/03/2018,0.00
21/04/2010,4.5000,28/03/2018,0.00
22/04/2010,4.5000,05/04/2018,0.00
23/04/2010,4.5000,12/04/2018,0.00
24/04/2010,4.5000,19/04/2018,0.00
25/04/2010,4.5000,26/04/2018,7.54
26/04/2010,4.5000,03/05/2018,0.00
27/04/2010,4.5000,10/05/2018,0.00
28/04/2010,4.5000,17/05/2018,0.00
29/04/2010,4.5000,24/05/2018,0.00
30/04/2010,4.5000,31/05/2018,0.00
01/05/2010,4.5000,07/06/2018,7.88
02/05/2010,4.5000,14/06/2018,0.00
03/05/2010,4.5000,21/06/2018,0.00
04/05/2010,4.5000,28/06/2018,0.00
05/05/2010,4.5000,05/07/2018,0.00
06/05/2010,4.5000,12/07/2018,0.00
07/05/2010,4.5000,19/07/2018,7.75
08/05/2010,4.5000,26/07/2018,0.00
09/05/2010,4.5000,02/08/2018,0.00
10/05/2010,4.5000,09/08/2018,0.00
11/05/2010,4.5000,16/08/2018,0.00
12/05/2010,4.5000,23/08/2018,0.00
13/05/2010,4.5000,30/08/2018,7.83
14/05/2010,4.5000,06/09/2018,0.00
15/05/2010,4.5000,13/09/2018,0.00
16/05/2010,4.5000,20/09/2018,0.00
17/05/2010,4.5000,27/09/2018,0.00
18/05/2010,4.5000,04/10/2018,0.00
19/05/2010,4.5000,11/10/2018,8.17
20/05/2010,4.5000,18/10/2018,0.00
21/05/2010,4.5000,25/10/2018,0.00
22/05/2010,4.5000,01/11/2018,0.00
23/05/2010,4.5000,08/11/2018,0.00
24/05/2010,4.5000,15/11/2018,0.00
25/05/2010,4.5000,22/11/2018,9.11
26/05/2010,4.5000,29/11/2018,0.00
27/05/2010,4.5000,06/12/2018,0.00
28/05/2010,4.5000,13/12/2018,0.00
29/05/2010,4.5000,20/12/2018,0.00
30/05/2010,4.5000,27/12/2018,0.00
31/05/2010,4.5000,03/01/2019,0.00
01/06/2010,4.5000,10/01/2019,8.71
02/06/2010,4.5000,17/01/2019,0.00
03/06/2010,4.5000,24/01/2019,0.00
04/06/2010,4.5000,31/01/2019,0.00
05/06/2010,4.5000,07/02/2019,0.00
06/06/2010,4.5000,14/02/2019,8.49
07/06/2010,4.5000,21/02/2019,0.00
08/06/2010,4.5000,28/02/2019,0.00
09/06/2010,4.5000,07/03/2019,0.00
10/06/2010,4.5000,14/03/2019,0.00
11/06/2010,4.5000,21/03/2019,0.00
12/06/2010,4.5000,28/03/2019,8.01
13/06/2010,4.5000,04/04/2019,0.00
14/06/2010,4.5000,11/04/2019,0.00
15/06/2010,4.5000,17/04/2019,0.00
16/06/2010,4.5000,25/04/2019,0.00
17/06/2010,4.5000,02/05/2019,0.00
18/06/2010,4.5000,09/05/2019,8.24
19/06/2010,4.5000,16/05/2019,0.00
20/06/2010,4.5000,23/05/2019,0.00
21/06/2010,4.5000,30/05/2019,0.00
22/06/2010,4.5000,06/06/2019,0.00
23/06/2010,4.5000,13/06/2019,0.00
24/06/2010,4.5000,20/06/2019,7.68
25/06/2010,4.5000,27/06/2019,0.00
26/06/2010,4.5000,04/07/2019,0.00
27/06/2010,4.5000,11/07/2019,0.00
28/06/2010,4.5000,18/07/2019,0.00
29/06/2010,4.5000,25/07/2019,0.00
30/06/2010,4.5000,01/08/2019,7.53
01/07/2010,4.5000,08/08/2019,0.00
02/07/2010,4.5000,15/08/2019,0.00
03/07/2010,4.5000,22/08/2019,0.00
04/07/2010,4.5000,29/08/2019,0.00
05/07/2010,4.5000,05/09/2019,0.00
06/07/2010,4.5000,12/09/2019,7.08
07/07/2010,4.5000,19/09/2019,0.00
08/07/2010,4.5000,26/09/2019,0.00
09/07/2010,4.5000,03/10/2019,0.00
10/07/2010,4.5000,10/10/2019,0.00
11/07/2010,4.5000,17/10/2019,0.00
12/07/2010,4.5000,24/10/2019,6.87
13/07/2010,4.5000,31/10/2019,0.00
14/07/2010,4.5000,07/11/2019,0.00
15/07/2010,4.5000,14/11/2019,0.00
16/07/2010,4.5000,21/11/2019,0.00
17/07/2010,4.5000,28/11/2019,0.00
18/07/2010,4.5000,05/12/2019,7.14
19/07/2010,4.5000,11/12/2019,0.00
20/07/2010,4.5000,19/12/2019,0.00
21/07/2010,4.5000,26/12/2019,0.00
22/07/2010,4.5000,02/01/2020,0.00
23/07/2010,4.5000,09/01/2020,0.00
24/07/2010,4.5000,16/01/2020,6.85
25/07/2010,4.5000,23/01/2020,0.00
26/07/2010,4.5000,30/01/2020,0.00
27/07/2010,4.5000,06/02/2020,0.00
28/07/2010,4.5000,13/02/2020,0.00
29/07/2010,4.5000,20/02/2020,0.00
30/07/2010,4.5000,27/02/2020,6.47
31/07/2010,4.5000,05/03/2020,0.00
01/08/2010,4.5000,12/03/2020,0.00
02/08/2010,4.5000,19/03/2020,0.00
03/08/2010,4.5000,26/03/2020,0.00
04/08/2010,4.5000,02/04/2020,0.00
05/08/2010,4.5000,08/04/2020,7.37
06/08/2010,4.5000,,
07/08/2010,4.5000,,
08/08/2010,4.5000,,
09/08/2010,4.5000,,
10/08/2010,4.5000,,
11/08/2010,4.5000,,
12/08/2010,4.5000,,
13/08/2010,4.5000,,
14/08/2010,4.5000,,
15/08/2010,4.5000,,
16/08/2010,4.5000,,
17/08/2010,4.5000,,
18/08/2010,4.5000,,
19/08/2010,4.5000,,
20/08/2010,4.5000,,
21/08/2010,4.5000,,
22/08/2010,4.5000,,
23/08/2010,4.5000,,
24/08/2010,4.5000,,
25/08/2010,4.5000,,
26/08/2010,4.5000,,
27/08/2010,4.5000,,
28/08/2010,4.5000,,
29/08/2010,4.5000,,
30/08/2010,4.5000,,
31/08/2010,4.5000,,
01/09/2010,4.5000,,
02/09/2010,4.5000,,
03/09/2010,4.5000,,
04/09/2010,4.5000,,
05/09/2010,4.5000,,
06/09/2010,4.5000,,
07/09/2010,4.5000,,
08/09/2010,4.5000,,
09/09/2010,4.5000,,
10/09/2010,4.5000,,
11/09/2010,4.5000,,
12/09/2010,4.5000,,
13/09/2010,4.5000,,
14/09/2010,4.5000,,
15/09/2010,4.5000,,
16/09/2010,4.5000,,
17/09/2010,4.5000,,
18/09/2010,4.5000,,
19/09/2010,4.5000,,
20/09/2010,4.5000,,
21/09/2010,4.5000,,
22/09/2010,4.5000,,
23/09/2010,4.5000,,
24/09/2010,4.5000,,
25/09/2010,4.5000,,
26/09/2010,4.5000,,
27/09/2010,4.5000,,
28/09/2010,4.5000,,
29/09/2010,4.5000,,
30/09/2010,4.5000,,
01/10/2010,4.5000,,
02/10/2010,4.5000,,
03/10/2010,4.5000,,
04/10/2010,4.5000,,
05/10/2010,4.5000,,
06/10/2010,4.5000,,
07/10/2010,4.5000,,
08/10/2010,4.5000,,
09/10/2010,4.5000,,
10/10/2010,4.5000,,
11/10/2010,4.5000,,
12/10/2010,4.5000,,
13/10/2010,4.5000,,
14/10/2010,4.5000,,
15/10/2010,4.5000,,
16/10/2010,4.5000,,
17/10/2010,4.5000,,
18/10/2010,4.5000,,
19/10/2010,4.5000,,
20/10/2010,4.5000,,
21/10/2010,4.5000,,
22/10/2010,4.5000,,
23/10/2010,4.5000,,
24/10/2010,4.5000,,
25/10/2010,4.5000,,
26/10/2010,4.5000,,
27/10/2010,4.5000,,
28/10/2010,4.5000,,
29/10/2010,4.5000,,
30/10/2010,4.5000,,
31/10/2010,4.5000,,
01/11/2010,4.5000,,
02/11/2010,4.5000,,
03/11/2010,4.5000,,
04/11/2010,4.5000,,
05/11/2010,4.5000,,
06/11/2010,4.5000,,
07/11/2010,4.5000,,
08/11/2010,4.5000,,
09/11/2010,4.5000,,
10/11/2010,4.5000,,
11/11/2010,4.5000,,
12/11/2010,4.5000,,
13/11/2010,4.5000,,
14/11/2010,4.5000,,
15/11/2010,4.5000,,
16/11/2010,4.5000,,
17/11/2010,4.5000,,
18/11/2010,4.5000,,
19/11/2010,4.5000,,
20/11/2010,4.5000,,
21/11/2010,4.5000,,
22/11/2010,4.5000,,
23/11/2010,4.5000,,
24/11/2010,4.5000,,
25/11/2010,4.5000,,
26/11/2010,4.5000,,
27/11/2010,4.5000,,
28/11/2010,4.5000,,
29/11/2010,4.5000,,
30/11/2010,4.5000,,
01/12/2010,4.5000,,
02/12/2010,4.5000,,
03/12/2010,4.5000,,
04/12/2010,4.5000,,
05/12/2010,4.5000,,
06/12/2010,4.5000,,
07/12/2010,4.5000,,
08/12/2010,4.5000,,
09/12/2010,4.5000,,
10/12/2010,4.5000,,
11/12/2010,4.5000,,
12/12/2010,4.5000,,
13/12/2010,4.5000,,
14/12/2010,4.5000,,
15/12/2010,4.5000,,
16/12/2010,4.5000,,
17/12/2010,4.5000,,
18/12/2010,4.5000,,
19/12/2010,4.5000,,
20/12/2010,4.5000,,
21/12/2010,4.5000,,
22/12/2010,4.5000,,
23/12/2010,4.5000,,
24/12/2010,4.5000,,
25/12/2010,4.5000,,
26/12/2010,4.5000,,
27/12/2010,4.5000,,
28/12/2010,4.5000,,
29/12/2010,4.5000,,
30/12/2010,4.5000,,
31/12/2010,4.5000,,
01/01/2011,4.5000,,
02/01/2011,4.5000,,
03/01/2011,4.5000,,
04/01/2011,4.5000,,
05/01/2011,4.5000,,
06/01/2011,4.5000,,
07/01/2011,4.5000,,
08/01/2011,4.5000,,
09/01/2011,4.5000,,
10/01/2011,4.5000,,
11/01/2011,4.5000,,
12/01/2011,4.5000,,
13/01/2011,4.5000,,
14/01/2011,4.5000,,
15/01/2011,4.5000,,
16/01/2011,4.5000,,
17/01/2011,4.5000,,
18/01/2011,4.5000,,
19/01/2011,4.5000,,
20/01/2011,4.5000,,
21/01/2011,4.5000,,
22/01/2011,4.5000,,
23/01/2011,4.5000,,
24/01/2011,4.5000,,
25/01/2011,4.5000,,
26/01/2011,4.5000,,
27/01/2011,4.5000,,
28/01/2011,4.5000,,
29/01/2011,4.5000,,
30/01/2011,4.5000,,
31/01/2011,4.5000,,
01/02/2011,4.5000,,
02/02/2011,4.5000,,
03/02/2011,4.5000,,
04/02/2011,4.5000,,
05/02/2011,4.5000,,
06/02/2011,4.5000,,
07/02/2011,4.5000,,
08/02/2011,4.5000,,
09/02/2011,4.5000,,
10/02/2011,4.5000,,
11/02/2011,4.5000,,
12/02/2011,4.5000,,
13/02/2011,4.5000,,
14/02/2011,4.5000,,
15/02/2011,4.5000,,
16/02/2011,4.5000,,
17/02/2011,4.5000,,
18/02/2011,4.5000,,
19/02/2011,4.5000,,
20/02/2011,4.5000,,
21/02/2011,4.5000,,
22/02/2011,4.5000,,
23/02/2011,4.5000,,
24/02/2011,4.5000,,
25/02/2011,4.5000,,
26/02/2011,4.5000,,
27/02/2011,4.5000,,
28/02/2011,4.5000,,
01/03/2011,4.5000,,
02/03/2011,4.5000,,
03/03/2011,4.5000,,
04/03/2011,4.5000,,
05/03/2011,4.5000,,
06/03/2011,4.5000,,
07/03/2011,4.5000,,
08/03/2011,4.5000,,
09/03/2011,4.5000,,
10/03/2011,4.5000,,
11/03/2011,4.5000,,
12/03/2011,4.5000,,
13/03/2011,4.5000,,
14/03/2011,4.5000,,
15/03/2011,4.5000,,
16/03/2011,4.5000,,
17/03/2011,4.5000,,
18/03/2011,4.5000,,
19/03/2011,4.5000,,
20/03/2011,4.5000,,
21/03/2011,4.5000,,
22/03/2011,4.5000,,
23/03/2011,4.5000,,
24/03/2011,4.5000,,
25/03/2011,4.5000,,
26/03/2011,4.5000,,
27/03/2011,4.5000,,
28/03/2011,4.5000,,
29/03/2011,4.5000,,
30/03/2011,4.5000,,
31/03/2011,4.5000,,
01/04/2011,4.5000,,
02/04/2011,4.5000,,
03/04/2011,4.5000,,
04/04/2011,4.5000,,
05/04/2011,4.5000,,
06/04/2011,4.5000,,
07/04/2011,4.5000,,
08/04/2011,4.5000,,
09/04/2011,4.5000,,
10/04/2011,4.5000,,
11/04/2011,4.5000,,
12/04/2011,4.5000,,
13/04/2011,4.5000,,
14/04/2011,4.5000,,
15/04/2011,4.5000,,
16/04/2011,4.5000,,
17/04/2011,4.5000,,
18/04/2011,4.5000,,
19/04/2011,4.5000,,
20/04/2011,4.5000,,
21/04/2011,4.5000,,
22/04/2011,4.5000,,
23/04/2011,4.5000,,
24/04/2011,4.5000,,
25/04/2011,4.5000,,
26/04/2011,4.5000,,
27/04/2011,4.5000,,
28/04/2011,4.5000,,
29/04/2011,4.5000,,
30/04/2011,4.5000,,
01/05/2011,4.5000,,
02/05/2011,4.5000,,
03/05/2011,4.5000,,
04/05/2011,4.5000,,
05/05/2011,4.5000,,
06/05/2011,4.5000,,
07/05/2011,4.5000,,
08/05/2011,4.5000,,
09/05/2011,4.5000,,
10/05/2011,4.5000,,
11/05/2011,4.5000,,
12/05/2011,4.5000,,
13/05/2011,4.5000,,
14/05/2011,4.5000,,
15/05/2011,4.5000,,
16/05/2011,4.5000,,
17/05/2011,4.5000,,
18/05/2011,4.5000,,
19/05/2011,4.5000,,
20/05/2011,4.5000,,
21/05/2011,4.5000,,
22/05/2011,4.5000,,
23/05/2011,4.5000,,
24/05/2011,4.5000,,
25/05/2011,4.5000,,
26/05/2011,4.5000,,
27/05/2011,4.5000,,
28/05/2011,4.5000,,
29/05/2011,4.5000,,
30/05/2011,4.5000,,
31/05/2011,4.5000,,
01/06/2011,4.5000,,
02/06/2011,4.5000,,
03/06/2011,4.5000,,
04/06/2011,4.5000,,
05/06/2011,4.5000,,
06/06/2011,4.5000,,
07/06/2011,4.5000,,
08/06/2011,4.5000,,
09/06/2011,4.5000,,
10/06/2011,4.5000,,
11/06/2011,4.5000,,
12/06/2011,4.5000,,
13/06/2011,4.5000,,
14/06/2011,4.5000,,
15/06/2011,4.5000,,
16/06/2011,4.5000,,
17/06/2011,4.5000,,
18/06/2011,4.5000,,
19/06/2011,4.5000,,
20/06/2011,4.5000,,
21/06/2011,4.5000,,
22/06/2011,4.5000,,
23/06/2011,4.5000,,
24/06/2011,4.5000,,
25/06/2011,4.5000,,
26/06/2011,4.5000,,
27/06/2011,4.5000,,
28/06/2011,4.5000,,
29/06/2011,4.5000,,
30/06/2011,4.5000,,
01/07/2011,4.5000,,
02/07/2011,4.5000,,
03/07/2011,4.5000,,
04/07/2011,4.5000,,
05/07/2011,4.5000,,
06/07/2011,4.5000,,
07/07/2011,4.5000,,
08/07/2011,4.5000,,
09/07/2011,4.5000,,
10/07/2011,4.5000,,
11/07/2011,4.5000,,
12/07/2011,4.5000,,
13/07/2011,4.5000,,
14/07/2011,4.5000,,
15/07/2011,4.5000,,
16/07/2011,4.5000,,
17/07/2011,4.5000,,
18/07/2011,4.5000,,
19/07/2011,4.5000,,
20/07/2011,4.5000,,
21/07/2011,4.5000,,
22/07/2011,4.5000,,
23/07/2011,4.5000,,
24/07/2011,4.5000,,
25/07/2011,4.5000,,
26/07/2011,4.5000,,
27/07/2011,4.5000,,
28/07/2011,4.5000,,
29/07/2011,4.5000,,
30/07/2011,4.5000,,
31/07/2011,4.5000,,
01/08/2011,4.5000,,
02/08/2011,4.5000,,
03/08/2011,4.5000,,
04/08/2011,4.5000,,
05/08/2011,4.5000,,
06/08/2011,4.5000,,
07/08/2011,4.5000,,
08/08/2011,4.5000,,
09/08/2011,4.5000,,
10/08/2011,4.5000,,
11/08/2011,4.5000,,
12/08/2011,4.5000,,
13/08/2011,4.5000,,
14/08/2011,4.5000,,
15/08/2011,4.5000,,
16/08/2011,4.5000,,
17/08/2011,4.5000,,
18/08/2011,4.5000,,
19/08/2011,4.5000,,
20/08/2011,4.5000,,
21/08/2011,4.5000,,
22/08/2011,4.5000,,
23/08/2011,4.5000,,
24/08/2011,4.5000,,
25/08/2011,4.5000,,
26/08/2011,4.5000,,
27/08/2011,4.5000,,
28/08/2011,4.5000,,
29/08/2011,4.5000,,
30/08/2011,4.5000,,
31/08/2011,4.5000,,
01/09/2011,4.5000,,
02/09/2011,4.5000,,
03/09/2011,4.5000,,
04/09/2011,4.5000,,
05/09/2011,4.5000,,
06/09/2011,4.5000,,
07/09/2011,4.5000,,
08/09/2011,4.5000,,
09/09/2011,4.5000,,
10/09/2011,4.5000,,
11/09/2011,4.5000,,
12/09/2011,4.5000,,
13/09/2011,4.5000,,
14/09/2011,4.5000,,
15/09/2011,4.5000,,
16/09/2011,4.5000,,
17/09/2011,4.5000,,
18/09/2011,4.5000,,
19/09/2011,4.5000,,
20/09/2011,4.5000,,
21/09/2011,4.5000,,
22/09/2011,4.5000,,
23/09/2011,4.5000,,
24/09/2011,4.5000,,
25/09/2011,4.5000,,
26/09/2011,4.5000,,
27/09/2011,4.5000,,
28/09/2011,4.5000,,
29/09/2011,4.5000,,
30/09/2011,4.5000,,
01/10/2011,4.5000,,
02/10/2011,4.5000,,
03/10/2011,4.5000,,
04/10/2011,4.5000,,
05/10/2011,4.5000,,
06/10/2011,4.5000,,
07/10/2011,4.5000,,
08/10/2011,4.5000,,
09/10/2011,4.5000,,
10/10/2011,4.5000,,
11/10/2011,4.5000,,
12/10/2011,4.5000,,
13/10/2011,4.5000,,
14/10/2011,4.5000,,
15/10/2011,4.5000,,
16/10/2011,4.5000,,
17/10/2011,4.5000,,
18/10/2011,4.5000,,
19/10/2011,4.5000,,
20/10/2011,4.5000,,
21/10/2011,4.5000,,
22/10/2011,4.5000,,
23/10/2011,4.5000,,
24/10/2011,4.5000,,
25/10/2011,4.5000,,
26/10/2011,4.5000,,
27/10/2011,4.5000,,
28/10/2011,4.5000,,
29/10/2011,4.5000,,
30/10/2011,4.5000,,
31/10/2011,4.5000,,
01/11/2011,4.5000,,
02/11/2011,4.5000,,
03/11/2011,4.5000,,
04/11/2011,4.5000,,
05/11/2011,4.5000,,
06/11/2011,4.5000,,
07/11/2011,4.5000,,
08/11/2011,4.5000,,
09/11/2011,4.5000,,
10/11/2011,4.5000,,
11/11/2011,4.5000,,
12/11/2011,4.5000,,
13/11/2011,4.5000,,
14/11/2011,4.5000,,
15/11/2011,4.5000,,
16/11/2011,4.5000,,
17/11/2011,4.5000,,
18/11/2011,4.5000,,
19/11/2011,4.5000,,
20/11/2011,4.5000,,
21/11/2011,4.5000,,
22/11/2011,4.5000,,
23/11/2011,4.5000,,
24/11/2011,4.5000,,
25/11/2011,4.5000,,
26/11/2011,4.5000,,
27/11/2011,4.5000,,
28/11/2011,4.5000,,
29/11/2011,4.5000,,
30/11/2011,4.5000,,
01/12/2011,4.5000,,
02/12/2011,4.5000,,
03/12/2011,4.5000,,
04/12/2011,4.5000,,
05/12/2011,4.5000,,
06/12/2011,4.5000,,
07/12/2011,4.5000,,
08/12/2011,4.5000,,
09/12/2011,4.5000,,
10/12/2011,4.5000,,
11/12/2011,4.5000,,
12/12/2011,4.5000,,
13/12/2011,4.5000,,
14/12/2011,4.5000,,
15/12/2011,4.5000,,
16/12/2011,4.5000,,
17/12/2011,4.5000,,
18/12/2011,4.5000,,
19/12/2011,4.5000,,
20/12/2011,4.5000,,
21/12/2011,4.5000,,
22/12/2011,4.5000,,
23/12/2011,4.5000,,
24/12/2011,4.5000,,
25/12/2011,4.5000,,
26/12/2011,4.5000,,
27/12/2011,4.5000,,
28/12/2011,4.5000,,
29/12/2011,4.5000,,
30/12/2011,4.5000,,
31/12/2011,4.5000,,
01/01/2012,4.5000,,
02/01/2012,4.5000,,
03/01/2012,4.5000,,
04/01/2012,4.5000,,
05/01/2012,4.5000,,
06/01/2012,4.5000,,
07/01/2012,4.5000,,
08/01/2012,4.5000,,
09/01/2012,4.5000,,
10/01/2012,4.5000,,
11/01/2012,4.5000,,
12/01/2012,4.5000,,
13/01/2012,4.5000,,
14/01/2012,4.5000,,
15/01/2012,4.5000,,
16/01/2012,4.5000,,
17/01/2012,4.5000,,
18/01/2012,4.5000,,
19/01/2012,4.5000,,
20/01/2012,4.5000,,
22/01/2012,4.5000,,
23/01/2012,4.5000,,
24/01/2012,4.5000,,
25/01/2012,4.5000,,
26/01/2012,4.5000,,
27/01/2012,4.5000,,
28/01/2012,4.5000,,
29/01/2012,4.5000,,
30/01/2012,4.5000,,
31/01/2012,4.5000,,
01/02/2012,4.5000,,
02/02/2012,4.5000,,
03/02/2012,4.5000,,
04/02/2012,4.5000,,
05/02/2012,4.5000,,
06/02/2012,4.5000,,
07/02/2012,4.5000,,
08/02/2012,4.5000,,
09/02/2012,4.5000,,
10/02/2012,4.5000,,
11/02/2012,4.5000,,
12/02/2012,4.5000,,
13/02/2012,4.5000,,
14/02/2012,4.5000,,
15/02/2012,4.5000,,
16/02/2012,4.5000,,
17/02/2012,4.5000,,
18/02/2012,4.5000,,
19/02/2012,4.5000,,
20/02/2012,4.5000,,
21/02/2012,4.5000,,
22/02/2012,4.5000,,
23/02/2012,4.5000,,
24/02/2012,4.5000,,
25/02/2012,4.5000,,
26/02/2012,4.5000,,
27/02/2012,4.5000,,
28/02/2012,4.5000,,
29/02/2012,4.5000,,
01/03/2012,4.5000,,
02/03/2012,4.5000,,
03/03/2012,4.5000,,
04/03/2012,4.5000,,
05/03/2012,4.5000,,
06/03/2012,4.5000,,
07/03/2012,4.5000,,
08/03/2012,4.5000,,
09/03/2012,4.5000,,
10/03/2012,4.5000,,
11/03/2012,4.5000,,
12/03/2012,4.5000,,
13/03/2012,4.5000,,
14/03/2012,4.5000,,
15/03/2012,4.5000,,
16/03/2012,4.5000,,
17/03/2012,4.5000,,
18/03/2012,4.5000,,
19/03/2012,4.5000,,
20/03/2012,4.5000,,
21/03/2012,4.5000,,
22/03/2012,4.5000,,
